statute_name,statute_description
18 § 2706 §§ A2,Terroristic Threats Cause Evacuation Of Bldg Etc
35 § 780-113 §§ A36,Knowing/In Mftr/Dist Of Design Drug
18 § 3924,Theft Property Lost Etc By Mistake
18 § 4915 §§ A3,Provide Accurate Information
18 § 3307 §§ A3,Institut'l Vand'ism Educ Facil
18 § 6501 §§ A1,Scatter Rubbish Upon Land/Stream Etc
18 § 3301 §§ C3,Arson-Intent Collect Insurance
18 § 4915.2 §§ A1,Fail to Register with PSP
18 ยง 3924,Theft Property Lost Etc By Mistake
75 § 3802 §§ A1****,DUI: Gen Imp/Inc of Driving Safely - 4th Off & Sub Off
18 § 2715 §§ A4,Bomb Threats - Threatens Plcmnt Of Bomb
75 § 1543 §§ B1.1II,BAC .02 or Greater 2nd Offense
18 § 3121 §§ A5,Rape Mentally Disabled Person
18 § 3011 §§ A1,Trafficking in Individuals - Recruit/entice/solicit/etc.
75 § 3732,Homicide By Vehicle
73 § 517.8 §§ A1,False Stmt to Induce Agreement for Home Improvement Services
18 § 3932 §§ A,Theft Of Leased Property
18 § 2503 §§ A2,Voluntary Mans - Provocation From Other
42 § 4583.1 §§ A1,Agg. Jury Tampering - Employ Force/Violence
18 § 6318 §§ A4,Contact/Comm.W/Minor-Obscene Mat/Perform
18 § 2709 §§ A7,Harassment - Comm. Repeatedly in Another Manner
18 § 4119 §§ A,Trademark Counterfeiting
18 § 4701 §§ A3,Bribery - Benefit
47 § 4-492 §§ 2,Unlic Cons Malt/Brewed Bev On Premises
18 ยง 2502,Murder
18 § 6501 §§ A3,Deposit Trash On Street
18 § 3929 §§ A5,"Retail Theft Destroy, Etc Inventory Control Tag"
18 § 5123 §§ C.1,Contraband - Telecommunication Device
18 § 7702 §§ 2,"Transports, Sells, Transfers, Purchases, etc Illegally obtained from chop shop"
18 § 2102 §§ A1,Mark Flag For Display Or Exhibition
65 § 1103 §§ A,Restricted Activities - Conflict of Interest
18 § 5511.2 §§ A,Illegal To Taunt Police Animal
75 § 3802 §§ B**,DUI: High Rte of Alc (BAC .10 - <.16) 2nd Off
75 § 3802 §§ D2**,DUI: Controlled Substance - Impaired Ability - 2nd Offense
75 § 3802 §§ E*,DUI: Minor - 1st Offense
18 § 3121 §§ 1,Rape Forcible Compulsion
75 § 3731 §§ A1*,Driving Under The Influence Of Alcohol
18 § 3301 §§ C2*,Arson - Reckless Place Persons Danger
75 § 3731 §§ A5I*,Dr W/Bl Alc Lev .10% Or > W/In 3 Hrs
18 § 5111 §§ A2,Knowledge That Property Is Proceeds of Illegal Act
18 § 5126 §§ A,Flight To Avoid Appreh/Trial/Punish
18 § 6115 §§ A,"Loans On, Or Lending, Giving Firearms Prohibited"
18 § 5516 §§ A1,Fac. Weapon of Mass Dest. - Terr/Threat/Har. Ind.
18 § 4955,Violation Of Protective Orders
75 ยง 3732,Homicide By Vehicle
18 § 4953.1 §§ A,Retaliation Against Prosecutor or Judicial Official
18 § 3123 §§ 1,IDSI Forcible Compulsion
18 § 4116.1 §§ A,Unlawful Use Recording Device In Theater
75 § 7122 §§ 1,Fraud Alter/Forg/Counter Title Reg Ins
75 § 3808 §§ A1,Ill Operate Vehicle W/Out Ignition Interlock
18 § 4902 §§ A,Perjury
18 § 5508,Disrupt Meeting
35 § 780-113 §§ A15,Sale Of Controlled Substance
75 § 3802 §§ B***,DUI: High Rte of Alc (BAC .10 - <.16) 3rd Off
75 § 3802 §§ A2**,DUI: Gen Imp (BAC .08 - .10) 2nd Off
18 § 2702 §§ A5,Aggravated Assault - Attempts to cause or causes BI - School
42 § 9134,Arrest Prior To Requisition
35 § 780-113 §§ A31I,Marijuana-Small Amt Personal Use
35 § 780-113 §§ A35II,Sell Noncont Subs Repres Subs Contr
35 § 780-113 §§ A17,Disp Cont Subst By Pract W/O Aff
18 § 4915.1 §§ A2,Fail to Verify Address/Be Photographed
75 § 3802 §§ D1****,DUI: Controlled Substance or Metabolite 4th and Subsequent Offense
18 ยง 4955,Violation of Protective Order
18 ยง 5510,Abuse Of Corpse
75 § 7122 §§ 3,Poss/Sale/Use Display Documents
75 § 3809 §§ A,Restrictions on Alcoholic Beverages
18 § 6504,Public Nuisance
18 § 7615 §§ A1,Computer Trespass - Remove Data
18 § 2702 §§ A3,Aggravated Assault
25 § 3535,Repeat Voting At Elections
18 § 6910 §§ B,Unauthorized Sale/Transfer Of Tickets
18 § 4104 §§ B,Tamper Records Or Id-Persnal Prop
18 § 6305 §§ A5,Sale of Tobacco - Sell Cigarette Out of Pack
18 § 3503 §§ B.3-1I,Biosecurity Trespasser - Enter Area without License
18 ยง 5901,Open Lewdness
18 § 2703 §§ A,Assault By Prisoner
75 § 3742 §§ B1,Accidents Involving Death/Personal Injury
18 § 3301 §§ C2,Arson Endangering Property-Reckless Endangerment of Inhabited Buildings
42 § 62A14 §§ A,Contempt for Violation of Order or Agreement
35 § 780-113 §§ A14,Admin Etc Of Cont Subst By Pract
18 § 2506 §§ A,Drug Delivery Resulting In Death
18 § 5902 §§ A2,Prom Pros-Loiter For Purp Of Pros
18 § 4116 §§ D1,Manu/Sell/Rent Live Prform W/O Owners Consent
75 § 1571 §§ A5,Violations Concerning Licenses - Exh. False Id.
35 § 780-113 §§ A5,Adult/Muti/Dest Label
18 § 913 §§ A2,Poss. Firearm In Ct. Facility For Use In Crime
18 § 2716 §§ A,Weapons of Mass Dest. - Unlawful Poss or Manu
18 § 2604 §§ A1,First Degree Murder Of Unborn Child
18 § 4915.1 §§ A.12,Transient - Fail to Verify Address or be Photographed
47 § 4-493 §§ 1,Furnish Liq/Malt/Brewed Bev Certain Per
18 § 3503 §§ B1.11II,Criminal Trespass/Simple Trespasser
18 § 2709.1 §§ A2,Stalking - Repeatedly Comm. To Cause Fear
18 § 5509 §§ A1,Intentional Desecration Of Public Monument
18 § 4915.1 §§ A.11,Transient - Fail to Register with PSP
75 § 3802 §§ D2****,DUI: Controlled Substance - Impaired Ability - 4th & Subsequent Offense
18 § 2603 §§ A,Criminal Homicide Of Unborn Child
18 § 3503 §§ B.2-1II,Agricultural Trespasser When Ordered Not To Enter
65 § 1103 §§ F,Restricted Activities - Entering Contracts
18 ยง 4115,False Impreson Privately Employed Person
75 § 1543 §§ B1.1III,BAC .02 or Higher - 3rd Offense
18 § 3929 §§ A2,Retail Theft - Alter Label/Pricing Marking
72 § 8272 §§ B,False/Fraud/Etc Sales Of Unstamp Cig
18 § 5510,Abuse Of Corpse
18 § 4915.2 §§ A3,Fail to Provide Accurate Registration Info
18 § 4106 §§ A2,"Publ, Make, See, Etc Access Device Altered, Etc"
75 § 1543 §§ B1.1I,Driving While BAC .02 or Greater While License Susp
18 § 6105 §§ C1,Person Not To Possess/Use Firearms - Fugitive
25 ยง 3548,Failure to Perform Duty
CO § 101603A,Disorderly Conduct
18 § 2709 §§ A6,Harassment - Comm. Repeatedly and Inconvenient Hours
18 ยง 5502,Fail To Disperse Upon Off'l Order
18 § 4915.1 §§ A1,Fail to Register with PSP
18 § 5107 §§ A,Aiding Consummation Of Crime
30 § 906 §§ A,Fleeing Or Attempt To Elude Officer
18 § 3301 §§ A1II,Arson-Inhabited Building Or Struct
18 § 2702 §§ A7,Agg. Assault - Use Tear or Noxious Gas
18 ยง 6504,Public Nuisance
4 § 1518 §§ A17,Unlawful to take/claim w/ intent to defraud
30 § 5502 §§ A.2*,Operating Watercraft With Highest Rate of Alcohol - 1st Offense
4 § 202,Unlaw Resale Tick Higher Than Estab
18 § 5902 §§ B5,Prom Pros-Procure Prostitute
18 § 3503 §§ B1I*,DEF TRES ACTUAL COMMUNICATION TO
18 § 4116 §§ B2,Unauth Trans Sounds Record Device
18 § 7507.1 §§ A1,"Invasion of Privacy - view, photograph, etc. person w/out consent"
18 ยง 4912,Impersonating A Public Servant
75 § 3735 §§ A1ii,Homicide by Vehicle While DUI
35 § 780-113 §§ A31II,"Possess Small Amt/Distribute, Not Sell"
75 § 3718 §§ A,Minor Prohibited/Operating W/Alcohol
35 § 780-113 §§ A13,Sale Give Contr Subs To Dep Person
18 § 911 §§ B3,Corrupt Organizations - Employee
75 § 1543 §§ B,Drg Lic Sus/Rev Purs To Sec 3731/1547b1
35 § 780-113 §§ A9,Make Sell Etc W/Int To Defraud
18 § 6105 §§ C4,Person Not To Possess/Use Firearm - Incompetent
18 § 3503 §§ B1II*,Def  Tres Posted
18 § 6111 §§ C,Firearm Ownership - Duty Of Other Persons
35 § 1277 §§ 4,Selling Federally Illegal Explosives
75 § 3802 §§ B****,DUI: High Rte of Alc (BAC .10 - <.16) 4th Off or Subsequent
75 ยง 7121,Make False Appli For Title Reg
18 § 3503 §§ B1iv,Def Tres Posted on School Grounds
75 § 3802 §§ D3**,DUI: Controlled Substance - Combination Alcohol/Drug - 2nd Offense
42 § 4583,Tampering With Jurors
75 § 3802 §§ D1ii***,DUI: Controlled Substance - Schedule 2 or 3 - 3rd Offense
18 § 3503 §§ B.11II,Criminal Trespass/Simple Trespasser
18 § 5511 §§ G,Cruelty To Animals: Enhance App Of Udder
18 § 5124 §§ A,Default In Required Appearance
75 § 3808 §§ A2*,Ill Operate w/o Ig Int (BAC .025+) 1st Off
42 § 4137 §§ A2,Contempt/Failure To Obey Process - Subpoena
18 § 7613 §§ A,Computer Theft
18 § 4915 §§ A1,Failure to Comply With Registration of Sexual Offenders Requirements
30 § 5501 §§ A,Reckless Operation Of A Watercraft
42 § 5947 §§ F,Criminal Contempt
18 § 3503 §§ B1.11I,Criminal Trespass/Simple Trespasser
18 § 7303 §§ A,Smell/Inhale Toxic Releasing Substances
18 § 4102,Simulating Objects Of Antiquity/Rarity
18 § 3012 §§ B2,Involuntary Servitude - Physically Restrain Another
18 § 3503 §§ B.11III,Criminal Trespass/Simple Trespasser
3 § 459-505-A §§ A2,Failure to comply with Sections 503-A or 503-4
18 § 5121 §§ B,Permit/Facilitate Excape
18 § 3503 §§ B1IV*,Def Tres Posted on School Grounds
18 § 5902 §§ B8,Prom Pros-Prostitution
18 § 3503 §§ B1.11III,Criminal Trespass/Simple Trespasser
18 § 3301 §§ E1,Failure To Control/Duty
18 § 2702 §§ C9,Aggravated Assault
42 ยง 9161,Arrest Prior To Requisition
75 § 3802 §§ D1i**,DUI: Controlled Substance - Schedule I - 2nd Offense
75 § 3742.1 §§ B2,Acc Involving Death/Person Injury-Not Properly Licensed
18 § 5503 §§ A1*,Disorderly Conduct Engage in Fighting
18 § 5507 §§ B1I,Refuse To Move-Obstruct Highway
35 § 780-113 §§ A10,Sale Retail Of Drug Except Pharmacist
18 § 5548 §§ A,Police Animals - Illegal to Taunt
18 § 4116 §§ D1,Manu/Sell/Rent Live Perform W/O Owners Consent
18 § 3301 §§ D1*,Reckless Burning or Exploding - places uninhabited or unoccupied structure in danger of damage or de
18 § 6311 §§ A,Tattooing Minor
18 § 2712,Assault On Sports Official
18 § 4101 §§ A3,Forgery-Utters Forged Writing
18 § 2702 §§ A5,Aggravated Assault
25 § 3525,Fraud By Election Officers
62 § 1408 §§ A2,Conceal Info Affecting Benefits
18 § 6111 §§ B,Rec Sale/Stmt. To Be Signed By Purch
18 § 6109 §§ I,Revocation Of Lic To Carry Firearm
18 § 6312 §§ D1,Sexual Abuse of Children - Possession Of Child Pornography
65 § 1105 §§ A,Statement of Financial Interests - Form
CO ยง 10604,Alcoholic Beverages
18 § 913 §§ A1,Poss.Of Firearm/Other Dangerous Weapon In Ct.Facil
18 § 7661 §§ A1,Unlaw. Trans. Of Email - Use Comp. Forge/Falsify
35 § 780-113 §§ A34,Plac Adv Sale Of Drug Paraph
25 § 3530,Unlawful Assistance In Voting
35 § 780-113 §§ A26,Know Dist Sche I Or Ii Contd Subs
18 § 6910 §§ A,Unauthorized Sale/Transfer Of Tickets
4 § 1518 §§ A7I,Unlawful to Use/Possess Cheating or Thieving Device at Licensed Facility
47 § 4-406 §§ A1,Restr Sales By Liq Lic
CO ยง 101603A,Disorderly Conduct
35 § 780-113 §§ A6,Counter Simulat Mark Stamp
18 § 3124.2 §§ A.21,School - Intercourse/Sexual Contact with Student
18 § 5122 §§ A2,Inmate Procure Etc Self W Weapon
42 ยง 4583,Tampering With Jurors
18 § 4702 §§ A2,Threat Unlaw Harm To Infl Judiicial/Adm Process
18 § 5105 §§ A5,Hinder App/Prosec-False Info To Leo
CO § 10612,Gambling
30 § 5502 §§ A.1*,Operating Watercraft With High Rate of Alcohol - 1st Offense
18 § 6105 §§ A2,Person Not To Possess Use Etc. Firearms
18 § 5534 §§ A2,Aggravated Cruelty to Animals - Causing SBI or Death
42 § 4583.1 §§ A2,Agg. Jury Tampering - Offer Pecuniary Benefit
18 § 6111 §§ G4III,Willfully Furnishes or Exhibits False Identification
35 § 780-113 §§ A3,Dissem/Pub Of False/Mislead Adv
CO ยง 10612,Gambling
18 § 4952 §§ A1,Intim Wit/Vict-Refrain From Report
18 § 4910 §§ 1,Tamper With/Fabricate Phys'l Evidence
18 § 3301 §§ D2*,"Reckless Burning or Exploding - places property having value that exceeds $5000 or automobile, place"
18 § 5105 §§ A2,Hinder App/Prosec-Provide Aid
18 ยง 3124.1,Sexual Assault
18 § 7614 §§ A,Unlawful Duplication
18 § 4702 §§ A1,Threaten Unlawful Harm To Influence
75 § 3731 §§ A*,Drvg Und Inf Alco/Ctrl Sub
18 § 903 §§ B,Criminal Conspiracy Knowledge
75 § 1372 §§ 1,Allow Illegal Use Of Plate/Card
18 § 5903 §§ A.1,Dissemin. Explicit Sex. Material Via Elect. Comm.
CO ยง 10609,Public Urination
18 § 4914 §§ A,False Identification To Law Enf. Off.
18 ยง 5505,Public Drunkenness And Similar Misconduct
18 § 5105 §§ A3,Hinder App/Prosec-Conceal/Destroy Evid
75 § 3808 §§ B,Tamper W/Ignition Interlock
18 § 3929 §§ A1,Retail Theft - Take Mdse
35 § 780-113 §§ A19,Purc/Rec Of Cont Substby Unauth Per
CO § 10609,Public Urination
75 § 3309 §§ 1,Disregard Traffic Lane (Single)
75 § 1332 §§ A,Improp Display Plate
75 § 3353 §§ A1I,Illegal Park Stand Double
18 § 6308 §§ A,Purch Etc Alcoh Bev By A Minor
CO § 10604,Alcoholic Beverages
75 § 1301 §§ A,Dr Unregist Veh
18 § 5505,Public Drunkenness And Similar Misconduct
CO § 10602,Smoking
CO § 10603,Loitering
CO § 106042B,Drinking Restricted
18 § 5503 §§ A,Disorderly Conduct
18 § 4915 §§ A1,Register With State Police As Required
18 § 4906 §§ B2,Furnish Auth. With Information W/O Knowledge
25 § 3527,Interference With Primaries/Elections
62 § 4503 §§ A1,Bid-rigging unlawful / contract
73 § 1934 §§ A,Dealers Retention Of Pm/Inspection
42 § 9161,Arrest Prior To Requisition
75 § 3303 §§ A1,Improper Pass
18 § 2909 §§ A,Concealment Of Whereabouts Of Child
18 § 4103,Fraudulent Destruction Rec Insur
18 § 3929.2 §§ A,Unlawful Poss. Retail/Library Theft Instruments
77 § 501 §§ A1,Workerscomp Insurance Payment
75 § 3702 §§ A,Back Up Vehicle Improperly
75 § 1543 §§ A*,Driv While Oper Priv Susp or Revoked (4th or Subsequent Offense)
18 § 6312 §§ A,Sexual Abuse of Children - Definition
75 § 3304 §§ A1,Improper Pass on Right
18 § 3124,Voluntary Deviate Sexual Intercourse
4 § 1518 §§ A7.1ii,Knowingly by trick/fraud win or reduce a loss
18 ยง 3122.1,Statutory Sexual Assault
CO § 10825,STUN GUNS
23 § 6114 §§ A,Contempt For Violation Of Order Or Agreement
18 § 5903 §§ A3i,Design/Copy Obscene Material
18 § 4903 §§ B,False Swearing
75 § 4304,Operating Without Lights
18 § 2715 §§ A3,Bomb Threats - Reports W/O Knowledge Of Bomb
75 § 3112 §§ A1I,Improper Turn / Green Light
47 § 4-491 §§ 2,Possession or transportation of liquor or alcohol
75 § 1786 §§ A,Required Financial Responsibility
75 § 1311 §§ A,Regist Card Not Signed
18 § 4703,Voluntary and involuntary manslaughter
CO § 10820,Cutting Weapons
77 § 1039.2 §§ 2,Workmans Compensation Insurance Fraud
18 § 6111 §§ A2,Deliver Firearm After Inst Crim Rec Check
18 § 5125,Witness Absconds
CO § 010102,VIOL-ORDINANCES GENL
CO § 101603C,Public Drunkenness
CO § 10810,"Weapons, Devices"
75 § 4303 §§ A,No Headlights
75 § 3542 §§ A,Fail To Yield Right Of Way To Ped
75 § 4302 §§ A1,Period For Requiring Lighted Lamps
18 § 2902 §§ C1,Unlawful Restraint of Minor/Parent - Risk of Bodily Injury
75 § 1511 §§ A,Fail To Carry Lic
18 § 3926 §§ A4,Theft Of Services-Acquisition Of Services
18 § 907 §§ C,Unlawful Body Armor
CO § 10611,Sidewalk Behavior
18 § 4106 §§ A1IV,Other Reason Access Device Is Unauth By Issuer
18 § 903 §§ A2,Criminal Conspiracy Aiding
18 § 2715 §§ A1,Bomb Threats - Place Or Set Bomb
18 § 909 §§ A,Manufacture Etc Motor Veh Mast Key
CO § 120811,BICYCLE REGULATIONS
CO § 101603B,Failure to Disperse
18 § 4904 §§ A2,Unsworn Fals Auth Forged Doc
18 § 4909,Witness or Informant Taking Bribe
18 § 3307 §§ A5,Institut'l Vand'ism Personal Prop
CO § 101503,Blocking Access
18 § 6111 §§ G5,Sale of Firearms - Criminally Liable
18 § 5511 §§ H.14,Animal Fighting - Encourage/Aid/Assist
75 § 3802 §§ B*,DUI: High Rte of Alc (BAC .10 - <.16) 1st Off
63 § 390-8 §§ 13i,Procure For Self/Other Drug By Fraud
63 § 479.17 §§ A,Funeral Directors / Penalties
18 § 3304 §§ A3,Crim'l Misch-Another Pecun Loss
18 § 3129,Sexual Intercourse With Animal
75 § 3802 §§ D1iii***,DUI: Controlled Substance - Metabolite - 3rd Offense
18 § 3301 §§ E1*,Failure to Control/Duty
18 § 7612 §§ A,Disruption of Service
77 § 1039.2 §§ 10,Wrk Comp Fraud - Fail To Make Report
75 § 3301 §§ A,Fail To Keep Right
4 ยง 202,Unlaw Resale Tick Higher Than Estab
75 § 3351 §§ A,Improper Stop
18 § 3503 §§ B.2-1I,Agricultural Trespasser Posted Land
30 § 5501 §§ B,Negligent Operation Of A Watercraft
75 § 3742.1 §§ AP,Permitting Violation - Acc Involving Death/Person Injury - Not Properly Licensed
18 § 6109 §§ H7,Person attempts or sells license to carry a firearm for fee in excess of statutory amount
75 § 3308 §§ A,One Way Roadways/Rotary Traffic Island
18 § 3929 §§ A3,Retail Theft - Trans Mdse Fr Cont
75 § 3703 §§ A,Drive On Sidewalk
CO § 9205,VENDING PROHIBITED
3 § 459-505-A §§ A5,Dog W/O Muzzle
47 § 4-492 §§ 7,Sales Of Malt/Brewed Bev By Club Bet 3am/7am
75 § 3733 §§ A,Fleeing Or Attempting To Elude Officer
75 § 1543 §§ B1iii,Drg Lic Sus/Rev Purs to Sec 3802/1547B1-3rd or Subs. Violation
72 § 8273 §§ C,Poss Of Unstamped Cig
18 § 4119 §§ A2,Trademark Counterfeiting - Sells
CO § 10704,Litter on Sidewalks
75 § 3709 §§ A,Depositing Waste On Hwy
18 § 4117 §§ B1,Unlawful Compens By Attorney
18 § 4106 §§ A3,"Posses Access Device Knowing Counterfeit, Altered"
18 § 4703,Retaliation For Past Official Action
18 § 7507,Breach Prv Dev Meas Truth
18 § 4116 §§ D.1,"Manufacture, Sale or Rental of a Recording of a Live Performance Without Consent of the Owner"
75 § 1543 §§ B1i,Drg Lic Sus/Rev Purs to Sec 3802/1547B1
75 § 3308 §§ B,Drive Wrong Way
18 § 4116 §§ E,Copy/Record-Must Contain Mfr Name
18 § 3301 §§ F,Possess Explosive/Incen Material
18 § 3305,"Injure/Tamper Fire Apparatus, Property"
18 § 4303 §§ A,Conceal Death of Child
75 § 3710,Improper Entering To Intersection
4 § 1518 §§ A7.1i,Use/possess counterfeit/tampered/cheating devices
CO § 121109,PERMITS REQUIRED
75 § 3361,Driving at Safe Speed
75 § 1543 §§ B1.1ii*P,Permitting Violation - BAC .02 or Greater 2nd Offense
75 § 3321 §§ A,Fail To Yield Right Of Way
75 § 1371 §§ A,Veh Reg Suspended
35 § 780-113 §§ A31III,Distribute Small Amt Marijuana/Not For Sale
18 § 5503 §§ A3*,Disorder Conduct Obscene Lang/Gest
18 § 6701 §§ 1,Wear Insig And Uni Not Entitled To Wear
75 § 4581 §§ A2II,Fail to use safety belt - driver and front seat occupant
16 ยง 2329,Disorderly Conduct In/About Ct.House/Jail
75 § 7121,Make False Appli For Title Reg
18 § 6105 §§ A.1,Penalty
75 § 3802 §§ A2***,DUI: Gen Imp (BAC .08 - .10) 3rd Off
18 § 6305,Sell Tobacco To Person Under 16 Years
4 § 212,Unlawful to Purchase for Resale over Maximum Premium
18 § 3503 §§ B.11IV,Criminal Trespass/Secondary Metal
62 § 1407 §§ A3,Submit Dup Claim Med Assist
18 § 2507 §§ A,Murder of A Law Enforcement Officer of the First Degree
75 § 3802 §§ F1i*,DUI: Commercial Vehicle (BAC .04+) 1st Offense
18 § 5503 §§ A4*,Disorder Conduct Hazardous/Physi Off
75 § 4706 §§ C,Fail To Obtain Emission Cert
18 § 3931,Theft Unpub Drama/Music Comp
18 § 6318 §§ A4,Unlawful Contact With Minor - Obscene and Other Sexual Materials and Performances
18 § 2604 §§ C1,Third Degree Murder Of Unborn Child
75 § 3310 §§ A,Follow Too Closely
75 § 6308 §§ A,Investigation By Officer/Duty Of Operator
CO § 10702,Litter-Public Places
75 § 3802 §§ D1iii**,DUI: Controlled Substance - Metabolite - 2nd Offense
75 § 3325 §§ A,Failure to Yield to Emergency Vehicle
75 § 3802 §§ D1ii**,DUI: Controlled Substance - Schedule 2 or 3 - 2nd Offense
18 § 3921 §§ A,Theft By Unlaw Taking - Moveable Prop
75 § 3802 §§ D2*,DUI: Cont Subs - Imp Ability - 1st Off
75 § 4524 §§ A,Obstructed Window
18 § 3504 §§ A1I,"Disrupt, delay, prevent oper. of train or facility"
18 § 5532 §§ A2,Neglect of Animals - Shelter/Protection
18 § 4106.1 §§ A1,Unlawful Device Making Equipment Produces/Traffics
75 § 4581 §§ A1.1,Restraint Systems - Child Booster Seat
75 § 4524 §§ E1,Improp Sunscreening
47 § 4-493 §§ 16,Furnish Liquor Or Malt Bev At Unlaw Hr
75 § 3334 §§ A,Turning Movements And Required Signals
18 § 7313 §§ A,Buying/Exchanging Federal Food Stamps
18 § 4117 §§ B2,Unlawful Compens By Provider
18 § 5503 §§ A2*,Disorderly Conduct - Unreasonable Noise
75 § 4730 §§ A1,Violation Of Use Of Certif Of Inspection
75 § 1501 §§ B,Person In Towed Vehicle
75 § 3802 §§ F2*,DUI: Incapable of Safely Operating Vehicle - 1st Offense
75 § 3304 §§ B,Unsafe Movement/Pass on Right
18 § 6122,Proof Of License
35 § 780-113 §§ A37,Controlled Substance-Anabolic Strd
18 § 6307 §§ A,Misrep Age To Secure Liquor/Malt Bevs
18 § 4106.1 §§ A2,Unlawful Device Making Equipment Possession
23 § 4345 §§ A,Contempt for Noncompliance with Support Order
18 § 4304,Endangering Welfare Of Children
18 § 3935.1 §§ A,Theft of Secondary Metal
42 § 4137 §§ A5,Contempt/Violation of PFA Order
18 § 2707 §§ B,Propulsion Of Missiles Onto Roadways
25 § 3548,Failure to Perform Duty
75 § 1309,Renewal Of Registration
75 § 1372 §§ 3,Display Plate Card In Improp Veh
75 § 3306 §§ A1,Limitations on Driving on Left Side of Road
75 § 1575 §§ A,Permitting violation of title
18 § 6305 §§ A1,Sale Of Tobacco
18 § 2701 §§ A4,Simple Assault - Penetrate With Hypodermic Needle
30 § 5502 §§ A.32*,Operating Watercraft Under Combination of Alcohol and Drug or Different Drugs- 1st Offense
4 § 1518 §§ A13,Unlawful to permit persons under 21
18 § 6112,Retail Dealer Req'd To Be Licensed
75 § 1301 §§ B,Driving Unregistered Vehicle
75 § 3364 §§ A,Too Slow For Conditions
75 § 4306 §§ A,Not Use Low Beam
18 § 6712 §§ B1,Prohibited Use Of Containers
35 § 780-113 §§ A11,Oper Of Drug Manuf Dist Ret Est
72 § 8272 §§ A,Sales Of Unstamped Cig
62 § 1407 §§ A5,Submit Med Claim Unrel Serv
35 § 780-113 §§ A27,Use Of Fictitious Registration
18 § 6103,Crime Committed W/Firearm
18 § 4106 §§ A1I,"Access Device Is Counterfeit, Altered, Incomplete"
CO § 010103,VIOL-ORDINANCES GENL
63 § 1607,Violations
18 § 5501 §§ 2,Riot-Intent To Prev/Coerce Off'l Act
75 § 3744 §§ A,Fail Stop And Give Infor Render Aid
75 § 3102 §§ 1,"Obedience to Authorized Person Directing Traffic - Uniformed Police Officer, etc"
18 § 2706 §§ A3,Terroristic Threats Cause Serious Public Inconv.
18 § 7505,Violate Govt Traffic Rules
72 § 8273 §§ B,Poss Of Unstamped Cig
62 § 1407 §§ A2,Bribe/Rebate Furnish Med Assist
CO § 10501,Defacing Property
50 § 4605 §§ 1,Delivery Of Intoxicating Substance
CO § 090601,MASSAGE BUSINESS
75 § 3802 §§ A2****,DUI: Gen Imp (BAC .08 - .10) 4th Off & Subsequent
75 § 1543 §§ A,Driv W/Oper Priv Susp/revoked
75 § 7124,Fraudulent Use/Removal Of Reg Plate
75 § 3505 §§ D,One-Way Roadways
18 § 6110.2 §§ A,"Posses Firearm W/ Manufacturer Number Altered, Etc"
75 § 3802 §§ D4*,DUI: Solvent or Nox Substance - 1st Offense
18 § 3304 §§ A5*,Criminal Mischief - Damage Property
CO § 10804,False Alarms
18 § 5741 §§ A1,Unlawfully Access Stored Communications
18 § 3125 §§ 6,Aggrav Indec Asslt-Over 18/Under 14
22 § 26.1,Penalty Unlicensed Acts
75 § 3742 §§ B2,Accident/Serious Bodily Injury
72 § 8274 §§ A,Counterfeiting Tax Stamps
18 § 4304 §§ A2,Endangering Welfare of Children - Prevent/Interfere With Making Report
18 § 4903 §§ A2,False Swearing - Mislead Public Servant
75 § 3334 §§ D,Not Discontinue Signal
18 § 2703,Assault By Prisoner
18 § 4111 §§ 1,Fraud Insolv - Obstruct Claim Of Creditor
75 § 3362 §§ A3-83,Exceed Max Speed Lim Estb By 83 MPH
CO § 10706,Litter from Vehicles
18 § 4108 §§ C,Solicitation
75 § 3331 §§ A,Improper Right Turn
75 § 3802 §§ D3****,DUI: Controlled Substance - Combination Alcholol/Drug - 4th & Subsequent Offense
16 § 2329,Disorderly Conduct In/About Ct.House/Jail
75 § 3745.1 §§ A1,Accident Scene Clearance - Vehicle Not Require Towing
18 § 4107 §§ A1,Dec Bus Pract-False Weight Or Meas
18 § 4903 §§ A1,False Swearing-Offic Proceed
18 § 2707.2 §§ A.1,Unlawful discharge of paintball gun or paintball marker
18 § 2714,Unauthorized Admin Of Intoxicant
75 § 4581 §§ A1,Improp Child Restraint System
LO § 100820,Cutting Weapons
18 § 3303 §§ 2,Fail To Prev Catast-Did Or Assent To Act
18 § 5513 §§ A3,Solicit/Invite Someone To Gamble
18 § 6105 §§ B,Person Not To Possess Use Etc Firearms
LO § 100603,Loitering
75 § 7111,Deal In Titles & Plates Stolen Veh
75 § 3544 §§ A,Mand. Use Of Available Sidewalk
75 § 3311 §§ A,Drive Over Divider
18 § 3013 §§ A,Patronizing Victim of Sexual Servitude
18 § 6101,Title Of Subchapter-Pa.Uniform Firearms Act
18 § 4107 §§ A8,Dec Bus Pract-False/Mis Stat Inves
18 § 4953 §§ A,Retaliation Against Witness Or Victim
34 § 2508 §§ A2,Discharge Of Firearm Etc At Park/Resort
18 § 4107 §§ A4,Dec Bus Pract - Adulterated Goods
65 § 1103 §§ C,Restricted Activities - Accept Improper Influence
63 § 1602 §§ A,License Required
75 § 3334 §§ B,Signal Improp
CO § 10601,Spitting
25 § 2672 §§ A,Qualification of Election Officers
75 § 3323 §§ C,Failure to Yield at Yield Sign
77 § 1039.2 §§ 11,Wrk Comp Fraud - Receives Benefits
